Description for the data in the LakeTemperatureAllLoopVariables.txt
1. The first column contains the name of variables that are used by the LakeTemperature.
2. The top row displays various sections (divided by "|") that illustrate the sequence of execution:
lakeTemperature(main) -> its subroutine->return to main -> its subroutine -> main
3. Every column within code section (divided by "|") represents a "do loop" (Fortran) segment.
The value of each table element indicates the usage of a variable in that "do loop", the value could be "ro, wo, ro, -". ro: read-only, wo: write-only, rw: read-write, -: not in use"


                             |LakeTemperature                |soilthermprop_ |LakeTemperature                    |phasechange_lake           |LakeTemperature            |soilthermprop_ |LakeTemperature    
cvx                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   wo  -   ro  -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
phix                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   wo  -   -   ro  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  ro  -   -   -   
tx                           -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   wo  -   ro  ro  rw  ro  |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
tkix                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   wo  ro  ro  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
dzp                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   rw  -   rw  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
tktopsoillay                 -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   ro  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
factx                        -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   wo  ro  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
fnx                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   wo  ro  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
a                            -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   wo  ro  -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
b                            -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   wo  rw  -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
c1                           -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   wo  ro  -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
r                            -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   wo  ro  -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
dzm                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   rw  -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
gam                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   rw  -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
qflx_snomelt                 -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |wo -   rw  -   rw  ro  -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
eflx_snomelt                 -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |wo -   -   -   -   wo  -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
qflx_snow_melt               -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |wo -   rw  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
qflx_snofrz_lyr              -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  wo  -   -   wo  -   ro  |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
imelt                        -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  wo  -   -   wo  -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
heatavail                    -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   rw  rw  rw  -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
melt                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   rw  rw  rw  -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
heatrem                      -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   rw  rw  rw  -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
snow_depth                   -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   rw  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
dophasechangeflag            -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   wo  wo  -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
icesum                       -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  rw  -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
sum1                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |rw rw  -   -   rw  
sum2                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |rw rw  -   -   -   
sum3                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |rw rw  -   -   -   
qav                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |-  -   -   -   -   
iceav                        -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |-  -   -   -   -   
nav                          -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |-  -   -   -   -   
tav_froz                     -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |-  -   -   -   -   
tav_unfr                     -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |-  -   -   -   -   
zsum                         -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   rw  -   rw  -   -   |-  -   -   -   |-  -   -   -   -   
grnd_ch4_cond                -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   wo  -   |-  -   -   -   |-  -   -   -   -   
lake_raw                     -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   ro  -   |-  -   -   -   |-  -   -   -   -   
ncvts                        -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |wo rw  ro  -   -   
errsoi                       -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   wo  rw  -   
eflx_sh_tot                  -   -   -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   rw  -   
